instance_sn,role,app_name,cpu_request,cpu_limit,gpu_request,gpu_limit,rdma_request,rdma_limit,memory_request,memory_limit,disk_request,disk_limit,max_instance_per_node,creation_time,scheduled_time,deletion_time,estimated_runtime
instance_7395,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,37320.0,37349.0,46457.0,9137.0
instance_7396,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,37320.0,37320.0,84602.0,47282.0
instance_7397,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,37320.0,37320.0,183088.0,145768.0
instance_7398,HN,app_62,8,8,1,1,25,25,40.0,40.0,200.0,200.0,2,37853.0,37853.0,43864.0,6011.0
instance_7399,HN,app_62,8,8,1,1,25,25,40.0,40.0,200.0,200.0,2,37853.0,37986.0,208745.0,170892.0
instance_7400,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,37890.0,38065.0,608093.0,570203.0
instance_7402,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,37984.0,37984.0,50532.0,12548.0
instance_7403,CN,app_16,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,38009.0,38065.0,46097.0,8088.0
instance_7404,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,38039.0,38040.0,76752.0,38713.0
instance_7405,CN,app_82,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,38040.0,38070.0,1032769.0,994729.0
instance_7406,CN,app_11,64,64,0,0,1,1,400.0,400.0,255.0,300.0,2,38219.0,38219.0,46440.0,8221.0
instance_7407,CN,app_54,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,39070.0,39085.0,138217.0,99147.0
instance_7409,CN,app_35,192,192,0,0,51,51,960.0,960.0,340.0,400.0,-1,38324.0,38382.0,76124.0,37800.0
instance_7410,CN,app_79,48,48,0,0,1,1,240.0,240.0,255.0,300.0,-1,39072.0,39145.0,1554648.0,1515576.0
instance_7412,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,38499.0,38499.0,66766.0,28267.0
instance_7413,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,38549.0,38549.0,48528.0,9979.0
instance_7414,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,38563.0,38563.0,67398.0,28835.0
instance_7415,CN,app_47,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,38648.0,38648.0,606467.0,567819.0
instance_7416,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,38670.0,38670.0,71189.0,32519.0
instance_7417,CN,app_62,48,48,0,0,1,1,240.0,240.0,425.0,500.0,-1,38799.0,38840.0,1416877.0,1378078.0
instance_7419,CN,app_13,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,39105.0,39105.0,129869.0,90764.0
instance_7420,CN,app_37,96,96,0,0,51,51,480.0,480.0,340.0,400.0,-1,39151.0,39210.0,405412.0,366261.0
instance_7421,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,39420.0,39981.0,998763.0,959343.0
instance_7425,CN,app_21,96,96,0,0,1,1,480.0,480.0,340.0,400.0,-1,40020.0,40020.0,140828.0,100808.0
instance_7427,CN,app_50,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,40022.0,40022.0,47267.0,7245.0
instance_7428,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,40022.0,40051.0,994046.0,954024.0
instance_7429,CN,app_54,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,40280.0,40351.0,412986.0,372706.0
instance_7430,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,40684.0,40684.0,40805.0,121.0
instance_7431,CN,app_54,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,41095.0,41121.0,46482.0,5387.0
instance_7432,CN,app_2,64,64,0,0,1,1,320.0,320.0,425.0,500.0,-1,41170.0,41181.0,129614.0,88444.0
instance_7433,CN,app_13,96,96,0,0,1,1,480.0,480.0,255.0,300.0,-1,41013.0,41013.0,805583.0,764570.0
instance_7434,CN,app_16,64,64,0,0,1,1,320.0,320.0,255.0,300.0,-1,41280.0,41307.0,79180.0,37900.0
instance_7435,CN,app_0,48,48,0,0,25,25,240.0,240.0,680.0,800.0,-1,42367.0,42382.0,303940.0,261573.0
instance_7436,CN,app_0,48,48,0,0,25,25,200.0,200.0,680.0,800.0,2,41671.0,41902.0,695928.0,654257.0
instance_7437,CN,app_87,64,64,0,0,100,100,320.0,320.0,255.0,300.0,2,42728.0,42728.0,51195.0,8467.0
